PassengerId,Survived,Name,Age,SibSp,Parch,Ticket,Fare,Sex_male,Embarked_Q,Embarked_S,Pclass_2,Pclass_3
1,0,"Braund, Mr. Owen Harris",0.2711736617240512,0.2,0.0,A/5 21171,0.11153846153846154,True,False,True,False,True
3,1,"Heikkinen, Miss. Laina",0.32143754712239253,0.0,0.0,STON/O2. 3101282,0.12192307692307693,False,False,True,False,True
4,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0.4345312892686604,0.2,0.0,113803,0.816923076923077,False,False,True,False,False
5,0,"Allen, Mr. William Henry",0.4345312892686604,0.0,0.0,373450,0.12384615384615387,True,False,True,False,True
6,0,"Moran, Mr. James",0.34656948982156316,0.0,0.0,330877,0.1301276923076923,True,True,False,False,True
7,0,"McCarthy, Mr. Timothy J",0.6732847449107816,0.0,0.0,17463,0.7978846153846154,True,False,True,False,False
8,0,"Palsson, Master. Gosta Leonard",0.01985423473234481,0.6000000000000001,0.16666666666666666,349909,0.3242307692307692,True,False,True,False,True
9,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",0.33400351847197784,0.0,0.3333333333333333,347742,0.17128153846153849,False,False,True,False,True
10,1,"Nasser, Mrs. Nicholas (Adele Achem)",0.17064589092736868,0.2,0.0,237736,0.4626276923076923,False,False,False,True,False
11,1,"Sandstrom, Miss. Marguerite Rut",0.04498617743151546,0.2,0.16666666666666666,PP 9549,0.2569230769230769,False,False,True,False,True
12,1,"Bonnell, Miss. Elizabeth",0.723548630309123,0.0,0.0,113783,0.4084615384615385,False,False,True,False,False
13,0,"Saundercock, Mr. William Henry",0.24604171902488062,0.0,0.0,A/5. 2151,0.12384615384615387,True,False,True,False,True
14,0,"Andersson, Mr. Anders Johan",0.4847951746670017,0.2,0.8333333333333333,347082,0.48115384615384615,True,False,True,False,True
15,0,"Vestrom, Miss. Hulda Amanda Adolfina",0.17064589092736868,0.0,0.0,350406,0.12083384615384615,False,False,True,False,True
16,1,"Hewlett, Mrs. (Mary D Kingcome) ",0.685850716260367,0.0,0.0,248706,0.24615384615384617,False,False,True,True,False
17,0,"Rice, Master. Eugene",0.01985423473234481,0.8,0.16666666666666666,382652,0.4480769230769231,True,True,False,False,True
18,1,"Williams, Mr. Charles Eugene",0.34656948982156316,0.0,0.0,244373,0.2,True,False,True,True,False
19,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0.38426740387031916,0.2,0.0,345763,0.27692307692307694,False,False,True,False,True
20,1,"Masselmani, Mrs. Fatima",0.34656948982156316,0.0,0.0,2649,0.11115384615384616,False,False,False,False,True
21,0,"Fynney, Mr. Joseph J",0.4345312892686604,0.0,0.0,239865,0.4,True,False,True,True,False
22,1,"Beesley, Mr. Lawrence",0.4219653179190751,0.0,0.0,248698,0.2,True,False,True,True,False
23,1,"McGowan, Miss. Anna ""Annie""",0.18321186227695402,0.0,0.0,330923,0.12352615384615384,False,True,False,False,True
24,1,"Sloper, Mr. William Thompson",0.34656948982156316,0.0,0.0,113788,0.5461538461538462,True,False,True,False,False
25,0,"Palsson, Miss. Torborg Danira",0.09525006282985675,0.6000000000000001,0.16666666666666666,349909,0.3242307692307692,False,False,True,False,True
26,1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",0.4722292033174164,0.2,0.8333333333333333,347077,0.4828846153846154,False,False,True,False,True
27,0,"Emir, Mr. Farred Chehab",0.34656948982156316,0.0,0.0,2631,0.11115384615384616,True,False,False,False,True
29,1,"O'Dwyer, Miss. Ellen ""Nellie""",0.34656948982156316,0.0,0.0,330959,0.12121846153846154,False,True,False,False,True
30,0,"Todoroff, Mr. Lalio",0.34656948982156316,0.0,0.0,349216,0.12147384615384617,True,False,True,False,True
31,0,"Uruchurtu, Don. Manuel E",0.49736114601658704,0.0,0.0,PC 17601,0.4264738461538462,True,False,False,False,False
